property_type,num_beds,size_sqft,floor_level,furnishing,lat,lng,subzone,planning_area,price,years_left,dist_from_changi_airport,dist_from_cbd,dist_from_nearest_mall,dist_from_nearest_sschool,dist_from_nearest_pschool,dist_from_nearest_comm,dist_from_nearest_mrt
hdb,3,1194,mid,fully,1.3933659,103.9020132,rivervale,sengkang,617400.0,78,10.4,13.34,0.29,0.16,0.29,1.99,0.75
hdb,3,1001,unknown,unspecified,1.3159003,103.86077824070716,bendemeer,kallang,912400.0,94,14.94,3.68,0.7,0.95,0.75,1.99,0.35
condo,1,441,unknown,partial,1.3443339,103.8786904,upper paya lebar,serangoon,1050000.0,999,12.3,7.33,0.99,0.34,0.34,1.04,0.26
condo,4,4596,high,unspecified,1.2996793,103.9028291799552,marine parade,marine parade,16155500.0,91,11.48,5.98,0.32,1.13,0.68,2.29,1.82
condo,3,2422,mid,unspecified,1.2971381000000002,103.8389530409632,oxley,river valley,7345800.0,994,17.93,2.02,0.39,1.12,1.43,1.27,0.35
hdb,2,883,unknown,unspecified,1.3421991,103.7414422,yuhua east,jurong east,407400.0,60,27.54,13.84,0.9,0.69,0.09,1.18,0.98
condo,3,1066,unknown,unspecified,1.3404645,103.88373309629344,joo seng,toa payoh,1982400.0,103,11.81,7.21,1.56,0.16,0.68,1.74,0.46
hdb,3,1001,mid,partial,1.3294757,103.8892932152119,macpherson,geylang,839900.0,93,11.47,6.56,1.26,1.38,0.89,1.34,0.37
landed,4,6000,unknown,unspecified,1.2487474,103.8401255,sentosa,southern islands,10290000.0,83,20.43,4.09,2.58,3.66,2.99,4.5,2.77
condo,2,700,unknown,unfurnished,1.3859375,103.8344656879244,tagore,ang mo kio,1690500.0,103,17.42,11.44,2.01,1.03,0.79,3.17,0.15
condo,1,517,unknown,unspecified,1.3711071,103.90006004104973,kangkar,hougang,819000.0,101,9.95,11.05,0.72,0.46,0.34,0.53,0.85
condo,2,710,high,unspecified,1.3013638,103.90131,marine parade,marine parade,2283800.0,999,11.52,5.87,0.28,0.89,0.45,2.05,1.58
hdb,3,1184,unknown,unspecified,1.3916766,103.88766402219576,anchorvale,sengkang,609000.0,80,11.84,12.58,0.81,0.34,0.15,2.41,0.87
hdb,2,721,unknown,unspecified,1.4081525,103.8988746,punggol town centre,punggol,522900.0,93,11.43,14.71,0.39,0.27,0.1,1.47,1.46
hdb,3,1001,unknown,partial,1.4305192999999998,103.79767061598028,woodlands south,woodlands,585900.0,94,22.71,17.28,0.44,0.27,0.46,1.42,0.6
condo,3,1109,unknown,unspecified,1.3395257,103.95121311731845,simei,tampines,1365000.0,75,4.6,12.69,0.37,0.22,0.12,1.39,0.47
landed,5,7700,unknown,unspecified,1.3386601,103.7716623,anak bukit,bukit timah,9135000.0,995,24.22,10.75,0.62,2.3,0.51,2.95,0.52
hdb,3,1184,unknown,unspecified,1.3942802,103.90212688801184,rivervale,sengkang,533400.0,77,10.43,13.44,0.34,0.26,0.29,2.09,0.79
hdb,3,1140,unknown,unspecified,1.3077410500000002,103.79671778125902,holland drive,queenstown,945000.0,74,22.04,6.64,0.37,0.79,0.96,0.75,0.5
hdb,3,1216,unknown,unspecified,1.3731121000000002,103.74180814842524,keat hong,choa chu kang,693000.0,94,27.5,15.69,0.55,1.01,0.53,4.39,1.38
hdb,4,1237,unknown,unspecified,1.34410145,103.7463929162677,bukit batok south,bukit batok,943800.0,94,26.98,13.45,0.73,0.67,0.62,1.72,0.65
landed,5,4600,unknown,unspecified,1.3464817,103.77713358950754,nature reserve,bukit panjang,4200000.0,88,23.55,10.78,0.46,2.78,0.93,3.89,0.64
condo,2,646,unknown,partial,1.3660231,103.77507192428756,dairy farm,bukit panjang,1155000.0,101,23.77,12.44,1.06,1.04,0.77,5.22,0.94
condo,4,3381,unknown,fully,1.3279822499999998,103.90734841480142,kaki bukit,bedok,3465000.0,93,9.6,7.9,1.77,0.63,0.48,1.89,0.78
condo,2,624,unknown,unspecified,1.3617951499999998,103.89155218998708,lorong ah soo,hougang,1207500.0,995,10.8,9.7,0.34,0.53,0.43,0.8,0.74
condo,1,495,unknown,fully,1.28091565,103.84981282617017,cecil,downtown core,1394400.0,991,17.61,0.38,0.46,1.53,1.24,0.83,0.18
hdb,3,861,unknown,unspecified,1.3199674,103.76574775613032,clementi north,clementi,819000.0,91,25.13,10.34,0.58,0.64,0.47,2.22,0.54
condo,1,538,mid,unfurnished,1.3219293,103.9093401520955,kembangan,bedok,828300.0,988,9.65,7.69,1.73,1.05,0.64,1.81,0.41
hdb,3,1259,mid,unspecified,1.3192073999999998,103.74967053479256,teban gardens,jurong east,648900.0,56,26.91,11.98,1.71,0.45,1.08,0.99,1.75
condo,4,1389,unknown,unspecified,1.4349279,103.8452818,yishun east,yishun,1575000.0,104,18.09,16.71,1.25,0.52,0.79,3.7,1.29
condo,1,560,unknown,unfurnished,1.3027702,103.8694351,tanjong rhu,kallang,1743000.0,100,14.57,2.89,0.38,1.45,1.36,2.25,0.66
landed,5,4320,unknown,unspecified,1.2788952,103.84147365808892,chinatown,outram,8400000.0,945,18.53,1.24,0.52,0.95,0.38,1.69,0.22
hdb,2,775,ground,unfurnished,1.42909595,103.82954837264418,yishun west,yishun,388500.0,61,19.37,16.24,0.75,0.78,0.13,4.68,0.61
hdb,4,1571,unknown,unspecified,1.3633932,103.9632331373327,pasir ris drive,pasir ris,892500.0,72,2.88,15.23,0.43,0.72,0.32,2.3,1.24
landed,4,5990,unknown,partial,1.3804543,103.9458545,pasir ris west,pasir ris,6510000.0,851,5.38,14.98,0.48,1.21,1.29,1.65,0.9
landed,4,2400,unknown,unspecified,1.3175779,103.7861756,ulu pandan,bukit timah,5448300.0,944,22.94,8.16,1.21,1.51,0.23,1.3,1.08
condo,3,915,unknown,unspecified,1.3271094,103.7964042,coronation road,bukit timah,1968300.0,99,21.64,7.77,1.27,0.79,1.15,2.39,0.42
hdb,2,721,unknown,unspecified,1.37517865,103.90040326756557,hougang east,hougang,556500.0,91,9.99,11.47,0.79,0.19,0.38,0.19,0.99
condo,5,1432,unknown,unspecified,1.38880665,103.8696866241516,fernvale,sengkang,1680000.0,101,13.66,11.77,0.15,0.97,0.52,1.01,2.69
condo,2,1066,unknown,unfurnished,1.2941316,103.85590120534604,city hall,downtown core,3822000.0,93,16.34,1.23,0.21,1.0,0.57,0.66,0.11
hdb,3,1507,unknown,unspecified,1.3078658,103.8885715,aljunied,geylang,1155000.0,60,12.4,4.9,0.93,0.2,0.38,1.26,0.09
condo,3,980,unknown,partial,1.3578738,103.9695628,changi west,changi,1785000.0,1000,2.1,15.48,1.14,0.95,1.01,1.94,1.67
hdb,3,1000,high,unspecified,1.27666905,103.8107654886577,telok blangah drive,bukit merah,997500.0,94,21.71,4.6,1.08,1.05,0.22,1.39,0.67
hdb,2,602,unknown,unspecified,1.3251650499999998,103.88812302305745,macpherson,geylang,315000.0,46,11.73,6.12,0.88,0.91,0.72,0.98,0.17
condo,4,1249,unknown,partial,1.3321733999999998,103.72419457835264,taman jurong,jurong west,1785000.0,93,29.54,15.13,0.54,0.21,0.97,1.17,1.38
hdb,4,1571,unknown,unspecified,1.38256985,103.93770462683662,pasir ris west,pasir ris,840000.0,73,6.29,14.53,0.65,2.08,0.78,0.77,1.66
hdb,2,775,unknown,unspecified,1.3238598,103.73877223955417,teban gardens,jurong east,556500.0,90,28.04,13.3,1.05,0.9,1.42,1.06,1.1
condo,3,990,unknown,unspecified,1.330403,103.7949393,holland road,bukit timah,2908500.0,998,21.75,8.12,0.88,0.84,1.26,2.7,0.22
hdb,4,1281,unknown,unspecified,1.3346296,103.8557810711986,boon teck,toa payoh,850500.0,74,14.98,5.63,0.86,0.88,0.3,0.87,0.95
condo,4,1464,unknown,unspecified,1.29841635,103.85717773862802,bugis,downtown core,3885000.0,101,16.01,1.72,0.17,0.95,0.6,0.81,0.28
condo,1,581,unknown,unfurnished,1.3123637,103.80327091227252,farrer court,bukit timah,1620200.0,1000,21.21,6.22,0.91,1.1,1.09,1.61,0.72
hdb,3,1313,unknown,unspecified,1.4241899,103.8449321,yishun east,yishun,598500.0,62,17.59,15.53,0.77,0.32,0.3,2.93,1.25
hdb,3,1076,unknown,partial,1.34423835,103.7406687387674,yuhua east,jurong east,525000.0,60,27.62,14.02,1.14,0.46,0.15,1.32,0.92
condo,3,958,unknown,unfurnished,1.38880665,103.8696866241516,fernvale,sengkang,1185400.0,101,13.66,11.77,0.15,0.97,0.52,1.01,2.69
condo,3,840,unknown,unspecified,1.3120762,103.8040548,tyersall,tanglin,2338400.0,1000,21.13,6.13,0.99,1.09,1.07,1.67,0.7
hdb,3,1001,unknown,unspecified,1.3872543,103.7597827,senja,bukit panjang,659400.0,90,25.66,15.32,0.74,0.11,0.42,3.28,0.86
landed,4,3876,unknown,unspecified,1.32850995,103.7892708419275,holland road,bukit timah,3990000.0,91,22.4,8.5,1.17,1.49,1.39,2.44,0.89
condo,3,807,unknown,unspecified,1.2937092,103.8226002,chatsworth,tanglin,2310000.0,1000,19.76,3.39,0.97,0.4,0.31,2.15,0.79
landed,6,7000,unknown,unspecified,1.3047559,103.8950412,mountbatten,marine parade,16275000.0,988,11.92,5.37,0.69,0.4,0.6,1.49,0.79
hdb,1,506,unknown,unspecified,1.3895634499999998,103.7714129031845,fajar,bukit panjang,315000.0,91,24.41,14.69,0.67,0.68,0.57,3.61,1.59
condo,4,1367,unknown,unspecified,1.3778426,103.95988196541651,pasir ris park,pasir ris,1879500.0,93,3.89,15.92,0.58,0.57,0.63,1.73,1.29
condo,2,1109,low,unspecified,1.2936254,103.82858657614555,chatsworth,tanglin,3024000.0,974,19.15,2.76,0.38,0.69,0.57,2.43,0.84
hdb,3,1227,high,partial,1.28939675,103.82892079770646,bukit ho swee,bukit merah,1365000.0,90,19.29,2.58,0.38,0.61,0.58,2.49,0.41
hdb,4,1118,unknown,unspecified,1.37706465,103.89613237565176,hougang east,hougang,577500.0,69,10.5,11.44,0.56,0.59,0.47,0.69,0.72
hdb,3,1291,unknown,unspecified,1.4462788,103.8036111,woodlands east,woodlands,630000.0,74,22.79,18.72,0.63,0.09,0.23,1.46,0.69
hdb,3,1119,unknown,unspecified,1.433243,103.7933479652526,woodlands south,woodlands,551200.0,77,23.27,17.73,0.2,0.65,0.34,0.86,0.65
condo,4,1302,unknown,unspecified,1.44002835,103.82774103667388,sembawang springs,sembawang,1957200.0,103,20.08,17.46,0.37,0.51,0.88,3.8,0.4
condo,2,667,unknown,partial,1.39616905,103.87480899079968,fernvale,sengkang,1039500.0,96,13.35,12.68,0.52,0.69,0.36,1.47,2.35
landed,5,3000,unknown,unspecified,1.2842353000000002,103.8514848001715,raffles place,downtown core,23940000.0,969,17.27,0.03,0.47,1.61,1.44,0.44,0.03
condo,2,872,unknown,unspecified,1.3129422000000002,103.84155234754564,moulmein,novena,2381000.0,984,17.08,3.39,0.53,0.97,0.68,0.81,0.4
hdb,3,1313,low,unspecified,1.3517869500000002,103.96311903222492,tampines east,tampines,669900.0,73,2.89,14.52,1.54,0.62,0.18,1.15,1.06
condo,4,9569,unknown,unspecified,1.31635965,103.82542139011356,nassim,tanglin,42000000.0,999,18.71,4.61,1.17,0.69,1.11,2.04,0.42
condo,2,1259,unknown,unfurnished,1.2773432,103.8456501,tanjong pagar,downtown core,7311400.0,93,18.2,0.97,0.03,1.37,0.66,1.44,0.09
condo,4,1668,high,partial,1.29988105,103.88811428633838,mountbatten,marine parade,4425800.0,101,12.86,4.44,1.31,0.66,1.26,2.11,0.94
condo,3,915,unknown,unspecified,1.3443339,103.8786904,upper paya lebar,serangoon,2226000.0,999,12.3,7.33,0.99,0.34,0.34,1.04,0.26
condo,5,2788,unknown,unspecified,1.29142015,103.84426811480154,clarke quay,singapore river,9156000.0,103,17.64,1.15,0.34,0.98,1.06,0.85,0.12
condo,2,800,unknown,unspecified,1.2937442,103.8466319,fort canning,museum,1930400.0,1002,17.29,1.21,0.4,0.69,0.7,0.48,0.29
condo,3,2000,ground,partial,1.3014187,103.84864400990352,mount emily,rochor,3570000.0,991,16.75,1.96,0.13,0.2,0.58,0.62,0.34
hdb,3,1281,unknown,unspecified,1.3682329,103.85297707051672,chong boon,ang mo kio,787500.0,56,15.12,9.32,0.53,0.19,0.39,1.99,0.42
hdb,3,1000,unknown,unspecified,1.3090684499999998,103.88205223557198,aljunied,geylang,682500.0,58,13.0,4.39,0.97,0.57,0.73,1.62,0.32
condo,4,1496,unknown,partial,1.304855,103.77377633404797,dover,queenstown,2362500.0,100,24.59,8.95,0.87,0.56,1.39,0.84,0.9
hdb,3,969,unknown,unspecified,1.31235395,103.85205164813604,kampong java,kallang,954400.0,81,15.98,3.14,0.5,1.46,0.12,1.28,0.31
landed,5,3154,unknown,unspecified,1.3310043,103.8073633,hillcrest,bukit timah,4775800.0,97,20.37,7.15,1.74,0.33,0.16,3.32,0.52
condo,4,1593,unknown,unspecified,1.3087662,103.8090654,ridout,tanglin,4642900.0,1000,20.68,5.46,1.55,1.08,1.34,2.13,0.98
hdb,2,721,unknown,unspecified,1.43195155,103.8455086771554,yishun east,yishun,462000.0,92,17.91,16.38,1.11,0.68,0.58,3.44,1.2
condo,2,753,unknown,unspecified,1.29988105,103.88811428633838,mountbatten,marine parade,2277100.0,101,12.86,4.44,1.31,0.66,1.26,2.11,0.94
landed,5,7798,unknown,unspecified,1.3292661,103.81093081688778,hillcrest,bukit timah,16674000.0,979,20.0,6.74,2.18,0.74,0.53,3.43,0.58
condo,5,1851,unknown,unspecified,1.3443339,103.8786904,upper paya lebar,serangoon,3903900.0,999,12.3,7.33,0.99,0.34,0.34,1.04,0.26
condo,2,700,unknown,unfurnished,1.28301625,103.83988698554164,pearl's hill,outram,2080000.0,100,18.48,1.29,0.33,0.47,0.8,1.68,0.31
condo,3,1174,unknown,unspecified,1.4011046500000002,103.9164636157126,waterway east,punggol,1510700.0,94,9.35,14.84,0.4,0.66,0.3,1.24,1.68
hdb,3,904,unknown,unspecified,1.34515825,103.9574235091898,simei,tampines,504000.0,65,3.72,13.6,0.59,0.71,0.82,0.8,0.5
hdb,4,1571,unknown,unspecified,1.3796,103.7738625,bangkit,bukit panjang,913500.0,65,24.01,13.66,0.54,0.32,0.47,4.68,1.41
condo,4,1259,unknown,partial,1.3443339,103.8786904,upper paya lebar,serangoon,3049200.0,999,12.3,7.33,0.99,0.34,0.34,1.04,0.26
landed,5,5428,unknown,unspecified,1.3544038,103.8653864,serangoon garden,serangoon,6142500.0,963,13.7,7.94,0.88,0.76,0.41,0.84,0.32
landed,5,6000,unknown,unspecified,1.3590243,103.8753586,kovan,hougang,5544000.0,967,12.59,8.72,0.71,0.53,0.64,0.92,0.97
condo,3,2465,unknown,unspecified,1.3564042500000002,103.9680377591946,flora drive,pasir ris,2362500.0,983,2.28,15.25,1.23,0.78,0.78,1.73,1.49
hdb,3,1302,unknown,unspecified,1.3872543,103.7597827,senja,bukit panjang,924000.0,76,25.66,15.32,0.74,0.11,0.42,3.28,0.86
condo,5,1593,unknown,unspecified,1.4349279,103.8452818,yishun east,yishun,2072700.0,104,18.09,16.71,1.25,0.52,0.79,3.7,1.29
landed,4,3014,unknown,unspecified,1.35674975,103.7518970836756,guilin,bukit batok,4179000.0,970,26.33,13.7,0.79,0.39,0.43,3.17,0.21
condo,2,840,mid,unspecified,1.3178829,103.90317670322858,geylang east,geylang,1845900.0,99,10.46,6.87,1.0,1.08,0.63,1.08,0.21
condo,5,1711,unknown,partial,1.3171376,103.75970123067364,faber,clementi,3150000.0,100,25.85,10.85,0.61,0.29,0.49,1.81,0.65
condo,2,764,unknown,unspecified,1.28617715,103.83955002171584,pearl's hill,outram,1888800.0,102,18.36,1.35,0.39,0.27,1.15,1.62,0.66
condo,2,990,unknown,unfurnished,1.29636395,103.857202171856,city hall,downtown core,3192200.0,102,16.1,1.52,0.08,1.0,0.6,0.77,0.38
hdb,3,1399,unknown,unspecified,1.452079,103.8203539,admiralty,sembawang,691800.0,78,21.43,18.91,0.44,0.71,0.23,2.48,0.34
landed,5,3800,unknown,unspecified,1.3629372,103.8692482,serangoon garden,serangoon,5124000.0,960,13.28,8.96,0.52,0.47,0.34,1.34,1.35
condo,4,1808,unknown,partial,1.29841635,103.85717773862802,bugis,downtown core,4620000.0,101,16.01,1.72,0.17,0.95,0.6,0.81,0.28
condo,3,1572,unknown,unspecified,1.29410615,103.83673469533848,institution hill,river valley,5250000.0,1002,18.29,1.99,0.53,0.87,1.44,1.53,0.73
hdb,3,1119,unknown,unfurnished,1.3228693,103.91168582306145,kembangan,bedok,735000.0,66,9.37,7.97,1.97,1.11,0.78,2.09,0.25
condo,5,1701,unknown,unspecified,1.3154751,103.8411131,moulmein,novena,4515000.0,1003,17.05,3.67,0.34,0.74,0.55,0.56,0.49
condo,3,1173,unknown,unspecified,1.3027702,103.8694351,tanjong rhu,kallang,3134200.0,100,14.57,2.89,0.38,1.45,1.36,2.25,0.66
condo,4,3745,unknown,unspecified,1.2426201,103.83682090290966,sentosa,southern islands,7350000.0,87,21.13,4.85,2.86,4.1,3.68,5.26,3.04
hdb,3,797,unknown,unspecified,1.4187248,103.8339516,khatib,yishun,491400.0,64,18.48,15.03,0.81,0.33,0.42,3.8,0.18
condo,3,1001,unknown,partial,1.4349279,103.8452818,yishun east,yishun,1155000.0,104,18.09,16.71,1.25,0.52,0.79,3.7,1.29
condo,3,1076,unknown,unspecified,1.4340784,103.8444119,yishun east,yishun,1329300.0,104,18.13,16.62,1.12,0.45,0.74,3.69,1.17
condo,4,1206,unknown,unspecified,1.3568431,103.9304835395196,tampines west,tampines,1473200.0,102,6.45,11.93,1.17,0.53,0.6,1.69,1.53
condo,1,527,unknown,unspecified,1.29410615,103.83673469533848,institution hill,river valley,1554000.0,1002,18.29,1.99,0.53,0.87,1.44,1.53,0.73
hdb,3,1421,mid,unfurnished,1.3454951,103.9507300939366,tampines east,tampines,714000.0,62,4.41,12.98,0.41,0.61,0.56,1.05,0.39
hdb,3,1194,unknown,unspecified,1.4501476,103.8157699,sembawang central,sembawang,577500.0,78,21.78,18.8,0.47,0.43,0.08,2.09,0.49
condo,3,732,unknown,unspecified,1.29773195,103.8559134735316,bugis,downtown core,2100000.0,101,16.17,1.6,0.06,0.82,0.46,0.65,0.3
condo,1,484,low,partial,1.2963944,103.89101386970906,mountbatten,marine parade,1425800.0,1001,12.78,4.61,1.4,1.02,1.44,2.42,1.36
condo,6,2228,unknown,unspecified,1.27568865,103.83822499656318,everton park,bukit merah,7986300.0,1000,19.01,1.73,0.86,1.18,0.19,2.19,0.54
hdb,3,1119,unknown,unspecified,1.34326145,103.68911079078332,yunnan,jurong west,462000.0,66,33.35,19.22,0.91,0.59,0.37,0.95,1.11
hdb,3,1571,unknown,unfurnished,1.4151113,103.83301814540516,yishun south,yishun,890400.0,65,18.43,14.65,0.98,0.51,0.4,3.81,0.25
hdb,3,1022,unknown,fully,1.3870525,103.7722878,fajar,bukit panjang,504000.0,79,24.28,14.41,0.41,0.53,0.37,3.89,1.49
hdb,2,721,unknown,unspecified,1.3141201,103.7679299486413,clementi north,clementi,504000.0,55,25.01,9.88,0.31,0.61,0.24,1.98,0.32
landed,5,4000,unknown,unspecified,1.3637049,103.8753728,kovan,hougang,14490000.0,985,12.6,9.21,1.14,0.75,0.76,1.42,1.15
landed,4,2200,unknown,unspecified,1.3711581,103.7696485,dairy farm,bukit panjang,3864000.0,979,24.4,13.26,1.04,0.4,0.25,5.31,0.6
landed,5,3100,unknown,unspecified,1.3673863,103.92887078561483,paya lebar north,paya lebar,6142500.0,964,6.72,12.62,1.91,1.66,1.18,1.5,2.36
hdb,3,1216,unknown,unspecified,1.36587695,103.95414303697638,pasir ris drive,pasir ris,525000.0,66,3.93,14.58,0.87,0.38,0.45,1.72,0.96
condo,3,1055,unknown,unfurnished,1.3124025,103.84117158557598,moulmein,novena,2047500.0,100,17.14,3.35,0.6,0.99,0.76,0.88,0.35
condo,3,1335,unknown,unspecified,1.3764684,103.95838382184004,pasir ris park,pasir ris,1501500.0,93,3.95,15.69,0.43,0.41,0.42,1.95,1.08
condo,3,1055,unknown,unfurnished,1.28715825,103.79213778715592,kent ridge,queenstown,1875300.0,100,23.2,6.61,1.27,1.83,1.65,0.6,1.1
hdb,3,1227,unknown,unspecified,1.38979405,103.87857242387634,fernvale,sengkang,682500.0,81,12.74,12.09,0.34,0.13,0.49,1.9,1.79
condo,3,1249,unknown,partial,1.26522915,103.81751884226044,maritime square,bukit merah,3326400.0,102,21.59,4.31,0.29,1.4,1.3,2.86,0.45
hdb,2,700,unknown,unspecified,1.3059383,103.9142634,marine parade,marine parade,420000.0,52,10.04,7.4,1.03,0.37,0.33,2.68,1.68
hdb,3,1184,unknown,unspecified,1.33650875,103.69449715589988,yunnan,jurong west,617400.0,85,32.8,18.41,0.65,0.82,0.57,1.23,0.34
hdb,4,1711,unknown,unspecified,1.3536596,103.7179151718472,hong kah,jurong west,819000.0,63,30.11,16.74,0.99,0.42,0.78,2.56,1.09
hdb,3,893,unknown,unspecified,1.3404789,103.7080985859799,jurong west central,jurong west,651000.0,94,31.26,17.14,0.33,0.43,0.6,2.04,0.31
condo,2,710,unknown,unspecified,1.3455515,103.8815143,upper paya lebar,serangoon,1671900.0,998,11.98,7.59,0.95,0.55,0.62,1.2,0.37
condo,3,947,unknown,unspecified,1.3784624,103.95735549281368,pasir ris park,pasir ris,1344000.0,89,4.16,15.75,0.32,0.48,0.63,1.98,1.08
condo,3,1098,high,fully,1.4170170999999998,103.84503465472268,lower seletar,yishun,1332300.0,94,17.26,14.73,0.44,0.47,0.68,2.57,1.34
condo,2,840,unknown,unspecified,1.28301625,103.83988698554164,pearl's hill,outram,2359400.0,100,18.48,1.29,0.33,0.47,0.8,1.68,0.31
condo,1,560,unknown,unspecified,1.4066031,103.90207073683268,punggol town centre,punggol,913500.0,94,11.04,14.69,0.0,0.61,0.37,1.19,1.29
hdb,2,990,high,fully,1.4090714,103.9013588201766,punggol town centre,punggol,735000.0,93,11.24,14.91,0.28,0.57,0.34,1.18,1.17
condo,1,592,unknown,unspecified,1.3533168,103.7896255,central water catchment,central water catchment,1386000.0,101,22.13,10.31,1.72,2.86,2.25,5.18,2.05
condo,3,1936,high,unspecified,1.31390785,103.8423358,moulmein,novena,3990000.0,989,16.96,3.47,0.4,0.95,0.55,0.69,0.52
condo,4,4607,unknown,unspecified,1.31857555,103.76180547850008,faber,clementi,5334000.0,94,25.59,10.69,0.52,0.32,0.43,1.91,0.54
condo,1,431,unknown,unfurnished,1.28301625,103.83988698554164,pearl's hill,outram,1236900.0,100,18.48,1.29,0.33,0.47,0.8,1.68,0.31
hdb,2,731,unknown,unspecified,1.4450235500000002,103.8331116619908,sembawang east,sembawang,456800.0,94,19.81,17.93,0.35,1.04,0.98,4.08,0.44
hdb,3,968,unknown,unspecified,1.4472891,103.7708303,north coast,woodlands,504000.0,81,26.17,20.17,1.83,1.24,1.48,2.1,1.66
condo,3,893,unknown,partial,1.3252767,103.9326308,bedok north,bedok,1785000.0,104,7.17,10.12,0.35,0.74,0.54,3.39,1.25
landed,6,11500,unknown,unspecified,1.2481118,103.8406065,sentosa,southern islands,23100000.0,91,20.43,4.14,2.66,3.75,3.06,4.55,2.86
condo,2,764,unknown,unspecified,1.28617715,103.83955002171584,pearl's hill,outram,1878300.0,102,18.36,1.35,0.39,0.27,1.15,1.62,0.66
condo,3,2422,unknown,fully,1.2971381000000002,103.8389530409632,oxley,river valley,7507500.0,994,17.93,2.02,0.39,1.12,1.43,1.27,0.35
condo,3,1862,unknown,unspecified,1.3095826,103.800775,leedon park,bukit timah,5901200.0,999,21.55,6.31,0.63,0.78,1.09,1.24,0.57
landed,5,4058,unknown,partial,1.3784672,103.8650612,seletar hills,serangoon,4757600.0,1005,13.93,10.56,1.11,1.07,0.93,1.7,1.97
condo,4,1302,unknown,unfurnished,1.3252767,103.9326308,bedok north,bedok,2205000.0,104,7.17,10.12,0.35,0.74,0.54,3.39,1.25
landed,5,4660,unknown,unspecified,1.3219091,103.7912914,leedon park,bukit timah,4357500.0,988,22.3,7.9,1.31,1.44,0.95,1.71,1.17
condo,2,850,unknown,unfurnished,1.29988105,103.88811428633838,mountbatten,marine parade,2080000.0,101,12.86,4.44,1.31,0.66,1.26,2.11,0.94
condo,4,1475,high,unspecified,1.33869315,103.87174954613296,bidadari,toa payoh,3356800.0,101,13.16,6.46,0.87,0.57,0.54,1.39,0.12
hdb,3,1076,low,unspecified,1.31039935,103.77128692605824,clementi woods,clementi,827400.0,90,24.73,9.39,0.72,0.26,0.75,1.42,0.83
condo,2,700,unknown,unspecified,1.32158785,103.86469444895071,bendemeer,kallang,1260000.0,93,14.34,4.42,1.18,0.57,0.09,2.2,0.35
condo,3,1227,unknown,unspecified,1.31730585,103.83260746060152,nassim,tanglin,3759300.0,1002,17.91,4.25,1.13,0.47,0.32,1.24,0.79
condo,3,980,low,partial,1.30010805,103.84667445597408,dhoby ghaut,museum,2762600.0,100,17.01,1.87,0.2,0.24,0.66,0.6,0.14
hdb,3,1119,unknown,unspecified,1.4292403,103.849496,yishun east,yishun,491400.0,65,17.38,16.07,1.48,1.03,0.19,2.92,1.61
condo,2,657,unknown,partial,1.377286,103.7568632,gombak,bukit batok,984900.0,102,25.87,14.74,0.5,0.67,0.57,4.3,0.54
condo,3,1055,unknown,unspecified,1.3058321,103.8382586,cairnhill,newton,3092200.0,1000,17.67,2.83,0.31,1.36,1.47,1.67,0.62
condo,4,1464,unknown,unspecified,1.3707978,103.9469571,pasir ris central,pasir ris,2672200.0,103,4.85,14.32,0.35,0.42,0.52,1.96,0.36
condo,3,1173,unknown,unspecified,1.3027702,103.8694351,tanjong rhu,kallang,3184600.0,100,14.57,2.89,0.38,1.45,1.36,2.25,0.66
hdb,3,1130,unknown,unspecified,1.37718295,103.93451390618708,pasir ris west,pasir ris,567000.0,73,6.38,13.85,0.85,1.93,0.15,0.56,1.71
hdb,2,721,unknown,unspecified,1.37021965,103.85442413260635,cheng san,ang mo kio,396900.0,56,14.98,9.55,0.68,0.46,0.39,2.25,0.54
condo,2,624,unknown,unspecified,1.30010805,103.84667445597408,dhoby ghaut,museum,1751400.0,100,17.01,1.87,0.2,0.24,0.66,0.6,0.14
hdb,4,1518,unknown,unspecified,1.3848662,103.7666294,saujana,bukit panjang,903000.0,75,24.87,14.62,0.07,0.54,0.17,3.79,0.84
hdb,3,1001,unknown,unspecified,1.37123615,103.85296098947214,cheng san,ang mo kio,997500.0,56,15.16,9.65,0.55,0.48,0.2,2.32,0.41
condo,2,743,unknown,unspecified,1.3393381,103.7638932,bukit batok south,bukit batok,1677900.0,1001,25.07,11.51,1.4,1.48,0.39,2.23,1.33
condo,2,1066,unknown,unspecified,1.30348325,103.82468956573264,tanglin,orchard,4147000.0,994,19.18,3.68,0.17,1.34,1.35,2.77,0.15
condo,3,915,unknown,unspecified,1.3124025,103.84117158557598,moulmein,novena,2205000.0,100,17.14,3.35,0.6,0.99,0.76,0.88,0.35
condo,1,592,low,partial,1.3159484,103.8575892,lavender,kallang,1272600.0,1003,15.28,3.61,0.53,1.0,0.66,1.64,0.44
hdb,4,1378,unknown,unspecified,1.379072,103.93642281091064,pasir ris west,pasir ris,871500.0,73,6.26,14.14,0.62,1.89,0.36,0.63,1.58
hdb,3,1076,unknown,unspecified,1.3509665,103.83938663614924,upper thomson,bishan,724500.0,61,16.61,7.53,1.03,0.62,1.12,0.98,0.25
landed,10,11000,unknown,unspecified,1.3602446499999998,103.86511076372146,serangoon garden,serangoon,11340000.0,932,13.73,8.57,0.56,0.63,0.3,1.28,0.96
